region,Resource,technology,cluster,Zone,Model,LDS,Min_Share,Max_Share,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Retro3_Source,gen_is_variable,Retro3_Efficiency,old_Inv_Cost_per_MWyr,old_Inv_Cost_per_MWhyr,Can_Retire
BASN,BASN_conventional_steam_coal_1,Conventional Steam Coal,1,1,1,0,0,0,1178.2,4.0,1178.2,0,294.55,0,0.0,0.0,0.0,0.0,0,71499,0.0,1.88,124.0,16.5,10.57,0.845,0.638,mountain_coal,0.0,0.095,0.19,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24,24,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_conventional_steam_coal_2,Conventional Steam Coal,2,1,1,0,0,0,1822.0,4.0,1822.0,0,455.5,0,0.0,0.0,0.0,0.0,0,61341,0.0,1.88,124.0,16.5,10.34,0.447,0.35,mountain_coal,0.0,0.095,0.19,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24,24,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_geothermal_1,Geothermal,1,1,1,0,0,0,462.4,60.0,893.52,0,7.71,0,0.0,0.0,0.0,0.0,0,209101,0.0,0.0,0.0,0.0,8.94,0.0,0.158,None,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,1,1,0,0,0,1018.3,8.0,1018.304,0,127.29,0,0.0,0.0,0.0,0.0,0,16492,0.0,4.55,92.0,2.0,8.25,0.762,0.763,mountain_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2,1,1,0,0,0,7294.0,15.0,7294.005,0,486.27,0,0.0,0.0,0.0,0.0,0,10628,0.0,3.59,92.0,2.0,7.56,0.521,0.622,mountain_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,1,1,0,0,0,1946.8,31.0,1946.8,0,62.8,0,0.0,0.0,0.0,0.0,0,10311,0.0,6.8,119.0,3.5,12.06,1.172,1.77,mountain_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2,1,1,0,0,0,236.2,20.0,236.2,0,11.81,0,0.0,0.0,0.0,0.0,0,13412,0.0,6.8,119.0,3.5,11.14,2.211,2.058,mountain_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,1,1,1,0,0,0,221.4,53.0,221.381,0,4.18,0,0.0,0.0,0.0,0.0,0,24000,0.0,6.36,38.0,0.0,9.6,1.718,2.984,mountain_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,1,1,0,0,0,468.5,6.0,468.498,0,78.08,0,0.0,0.0,0.0,0.0,0,51303,0.0,1.06,87.0,13.7,15.52,6.478,4.158,mountain_naturalgas,0.0,0.63,1.26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_petroleum_liquids_1,Petroleum Liquids,1,1,1,0,0,0,25.8,15.0,25.8,0,1.72,0,0.0,0.0,0.0,0.0,0,24000,0.0,8.22,38.0,0.0,12.4,0.143,2.942,mountain_distillate,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_geothermal_1,Geothermal,1,2,1,0,0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0,209101,0.0,0.0,0.0,0.0,8.86,0.0,0.075,None,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,2,1,0,0,0,3112.8,26.0,3112.798,0,119.72,0,0.0,0.0,0.0,0.0,0,16492,0.0,4.55,92.0,2.0,8.63,2.252,3.324,pacific_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2,2,1,0,0,0,8296.9,16.0,8296.896,0,518.56,0,0.0,0.0,0.0,0.0,0,10426,0.0,3.6,92.0,2.0,7.42,0.707,0.427,pacific_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,2,1,0,0,0,2248.7,26.0,2248.688,0,86.49,0,0.0,0.0,0.0,0.0,0,9973,0.0,6.8,119.0,3.5,10.76,1.198,0.859,pacific_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2,2,1,0,0,0,2426.8,99.0,2426.787,0,24.51,0,0.0,0.0,0.0,0.0,0,13412,0.0,6.8,119.0,3.5,10.92,2.347,2.508,pacific_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,1,2,1,0,0,0,444.4,83.0,444.382,0,5.35,0,0.0,0.0,0.0,0.0,0,24000,0.0,5.98,38.0,0.0,9.02,2.03,1.051,pacific_naturalgas,0.0,0.106666667,0.213333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,2,1,0,0,0,2.9,1.0,2.9,0,2.9,0,0.0,0.0,0.0,0.0,0,51303,0.0,1.06,87.0,13.7,9.21,0.0,0.0,pacific_naturalgas,0.0,0.63,1.26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_nuclear_1,Nuclear,1,2,1,0,0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0,193275,0.0,2.47,248.0,0.0,10.45,0.0,0.0,pacific_uranium,0.0,0.041666667,0.083333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24,24,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
