region,Resource,technology,cluster,Zone,Num_VRE_Bins,LDS,Min_Share,Max_Share,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Retro3_Source,gen_is_variable,Retro3_Efficiency,old_Inv_Cost_per_MWyr,old_Inv_Cost_per_MWhyr,Can_Retire
BASN,BASN_onshore_wind_turbine_1,Onshore Wind Turbine,1,1,1,0,0,0,2030.1,41,2030.115,0,49.52,0,0,0,0,0,0,30300,0,0,0,0,8.94,0,0.08,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2254433,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BASN,BASN_solar_photovoltaic_1,Solar Photovoltaic,1,1,1,0,0,0,8006.2,160,8006.24,0,50.04,0,0,0,0,0,0,22528,0,0,0,0,9.08,0.367,0.18,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285354086,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CANO,CANO_onshore_wind_turbine_1,Onshore Wind Turbine,1,2,1,0,0,0,1442,34,1442.008,0,42.41,0,0,0,0,0,0,30300,0,0,0,0,8.87,0.092,0.161,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194730965,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CANO,CANO_solar_photovoltaic_1,Solar Photovoltaic,1,2,1,0,0,0,6328.2,344,6328.224,0,18.4,0,0,0,0,0,0,22528,0,0,0,0,9.05,0.367,0.184,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277314989,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CASO,CASO_onshore_wind_turbine_1,Onshore Wind Turbine,1,3,1,0,0,0,4055.5,67,4055.51,0,60.53,0,0,0,0,0,0,30300,0,0,0,0,8.88,0,0.117,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351641868,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CASO,CASO_solar_photovoltaic_1,Solar Photovoltaic,1,3,1,0,0,0,13797.3,683,13797.283,0,20.2,0,0,0,0,0,0,22528,0,0,0,0,9.07,0.367,0.173,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26218427,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FRCC,FRCC_solar_photovoltaic_1,Solar Photovoltaic,1,4,1,0,0,0,9458.5,167,9458.546,0,56.64,0,0,0,0,0,0,22528,0,0,0,0,9.18,0,0.148,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224855373,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ISNE,ISNE_offshore_wind_turbine_1,Offshore Wind Turbine,1,5,1,0,0,0,29.3,1,29.3,0,29.3,0,0,0,0,0,0,111562,0,0,0,0,8.84,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449950433,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ISNE,ISNE_onshore_wind_turbine_1,Onshore Wind Turbine,1,5,1,0,0,0,1542.1,83,1542.14,0,18.58,0,0,0,0,0,0,30300,0,0,0,0,8.88,0,0.151,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24533294,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ISNE,ISNE_solar_photovoltaic_1,Solar Photovoltaic,1,5,1,0,0,0,2681.9,738,2681.892,0,3.63,0,0,0,0,0,0,22528,0,0,0,0,9.12,0.367,0.175,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22179585,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISC,MISC_onshore_wind_turbine_1,Onshore Wind Turbine,1,6,1,0,0,0,6437,44,6436.98,0,146.29,0,0,0,0,0,0,30300,0,0,0,0,9.06,0.367,0.186,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253435887,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISC,MISC_solar_photovoltaic_1,Solar Photovoltaic,1,6,1,0,0,0,3922.2,151,3922.225,0,25.98,0,0,0,0,0,0,22528,0,0,0,0,9.19,0.367,0.176,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234327844,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISE,MISE_onshore_wind_turbine_1,Onshore Wind Turbine,1,7,1,0,0,0,3676.9,40,3676.88,0,91.92,0,0,0,0,0,0,30300,0,0,0,0,9.02,0.367,0.166,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279570139,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISE,MISE_solar_photovoltaic_1,Solar Photovoltaic,1,7,1,0,0,0,1181,52,1181.024,0,22.71,0,0,0,0,0,0,22528,0,0,0,0,9.19,0,0.14,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238458037,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISS,MISS_onshore_wind_turbine_1,Onshore Wind Turbine,1,8,1,0,0,0,184.5,1,184.5,0,184.5,0,0,0,0,0,0,30300,0,0,0,0,9.21,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238599351,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISS,MISS_solar_photovoltaic_1,Solar Photovoltaic,1,8,1,0,0,0,2207.9,37,2207.901,0,59.67,0,0,0,0,0,0,22528,0,0,0,0,9.18,0,0.102,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24716333,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISW,MISW_onshore_wind_turbine_1,Onshore Wind Turbine,1,9,1,0,0,0,23793.1,360,23793.12,0,66.09,0,0,0,0,0,0,30300,0,0,0,0,8.99,0,0.151,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312513416,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MISW,MISW_solar_photovoltaic_1,Solar Photovoltaic,1,9,1,0,0,0,3131.6,759,3131.634,0,4.13,0,0,0,0,0,0,22528,0,0,0,0,9.16,0,0.137,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245253731,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NWPP,NWPP_onshore_wind_turbine_1,Onshore Wind Turbine,1,10,1,0,0,0,8732.7,104,8732.672,0,83.97,0,0,0,0,0,0,30300,0,0,0,0,8.92,0,0.145,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271360903,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NWPP,NWPP_solar_photovoltaic_1,Solar Photovoltaic,1,10,1,0,0,0,1628.6,136,1628.6,0,11.98,0,0,0,0,0,0,22528,0,0,0,0,9.18,0,0.133,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243301996,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NYCW,NYCW_solar_photovoltaic_1,Solar Photovoltaic,1,11,1,0,0,0,157.3,28,157.304,0,5.62,0,0,0,0,0,0,22528,0,0,0,0,9.01,0.367,0.187,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209501655,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NYUP,NYUP_onshore_wind_turbine_1,Onshore Wind Turbine,1,12,1,0,0,0,3389,47,3388.982,0,72.11,0,0,0,0,0,0,30300,0,0,0,0,9.01,0.367,0.182,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242256688,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NYUP,NYUP_solar_photovoltaic_1,Solar Photovoltaic,1,12,1,0,0,0,1742.8,428,1742.816,0,4.07,0,0,0,0,0,0,22528,0,0,0,0,9.2,0,0.105,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217356488,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PJMC,PJMC_onshore_wind_turbine_1,Onshore Wind Turbine,1,13,1,0,0,0,4488.8,34,4488.816,0,132.02,0,0,0,0,0,0,30300,0,0,0,0,8.98,0.367,0.178,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262783937,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PJMC,PJMC_solar_photovoltaic_1,Solar Photovoltaic,1,13,1,0,0,0,344.1,95,344.09,0,3.62,0,0,0,0,0,0,22528,0,0,0,0,9.17,0,0.083,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242706455,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PJMD,PJMD_onshore_wind_turbine_1,Onshore Wind Turbine,1,14,1,0,0,0,208,1,208,0,208,0,0,0,0,0,0,30300,0,0,0,0,8.84,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192471573,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PJMD,PJMD_solar_photovoltaic_1,Solar Photovoltaic,1,14,1,0,0,0,4753.6,176,4753.584,0,27.01,0,0,0,0,0,0,22528,0,0,0,0,9.17,0.367,0.179,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247822074,0,0,0,0,0,0,0,0,0,1,0,0,0,0
