region,Resource,technology,cluster,Zone,LDS,Min_Share,Max_Share,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Retro3_Source,gen_is_variable,Retro3_Efficiency,old_Inv_Cost_per_MWyr,old_Inv_Cost_per_MWhyr,Can_Retire
BASN,BASN_biomass_1,Biomass,1,1,0,0,0,8.1,8,12.6,0,1.01,0,0,0,0,0,0,157220,0,5.73,172,0,15.35,1.65,1.385,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_biomass_2,Biomass,2,1,0,0,0,20.6,21,32.004,0,0.98,0,0,0,0,0,0,157220,0,3.52,172,0,9.43,1.518,1.237,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASN,BASN_small_hydroelectric_1,Small Hydroelectric,1,1,0,0,0,173.1,126,372.708,0,1.37,0,0,0,0,0,0,47048,0,0,0,0,8.85,0,0.111,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38926996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_biomass_1,Biomass,1,2,0,0,0,156.2,32,462.688,0,4.88,0,0,0,0,0,0,157220,0,6.89,172,0,18.45,4.364,3.684,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_biomass_2,Biomass,2,2,0,0,0,71.5,83,212.065,0,0.86,0,0,0,0,0,0,157220,0,4.03,172,0,10.8,2.225,1.3,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANO,CANO_small_hydroelectric_1,Small Hydroelectric,1,2,0,0,0,229.8,117,636.012,0,1.96,0,0,0,0,0,0,47048,0,0,0,0,8.84,0,0.002,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302635892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASO,CASO_biomass_1,Biomass,1,3,0,0,0,117.3,65,265.33,0,1.8,0,0,0,0,0,0,157220,0,3.85,172,0,10.31,2.069,1.551,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASO,CASO_biomass_2,Biomass,2,3,0,0,0,23.8,11,53.801,0,2.16,0,0,0,0,0,0,157220,0,7.02,172,0,18.8,3.932,2.782,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASO,CASO_small_hydroelectric_1,Small Hydroelectric,1,3,0,0,0,67.9,52,230.984,0,1.31,0,0,0,0,0,0,47048,0,0,0,0,8.85,0,0.017,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284617228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRCC,FRCC_biomass_1,Biomass,1,4,0,0,0,84.1,8,313.6,0,10.52,0,0,0,0,0,0,157220,0,7.31,172,0,19.59,3.14,4.46,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRCC,FRCC_biomass_2,Biomass,2,4,0,0,0,114.1,54,425.196,0,2.11,0,0,0,0,0,0,157220,0,4.17,172,0,11.18,3.136,1.755,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISNE,ISNE_biomass_1,Biomass,1,5,0,0,0,60.5,14,317.8,0,4.32,0,0,0,0,0,0,157220,0,8.18,172,0,21.9,6.299,5.073,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISNE,ISNE_biomass_2,Biomass,2,5,0,0,0,132,59,693.191,0,2.24,0,0,0,0,0,0,157220,0,4.79,172,0,12.84,3.225,2.099,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISNE,ISNE_small_hydroelectric_1,Small Hydroelectric,1,5,0,0,0,263.4,265,597.84,0,0.99,0,0,0,0,0,0,47048,0,0,0,0,8.84,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44696973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
